MRGID,name,iso,iso3,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3,label,isoSov1,territory1,isoSov2,isoSov3
8473,Ivory Coast,CIV,CIV,Ivorian Exclusive Economic Zone,2161,200NM,2161,Ivory Coast,CIV,Ivory Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.45221,3.30891,8473,171760,CIV,NA,NA,384,NA,NA,384,NA,NA,Ivorian Exclusive Economic Zone,CIV,Ivory Coast,NA,NA
8475,Cameroon,CMR,CMR,Cameroonian Exclusive Economic Zone,2170,200NM,2170,Cameroon,CMR,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.31089,3.46278,8475,15143,CMR,NA,NA,120,NA,NA,120,NA,NA,Cameroonian Exclusive Economic Zone,CMR,Cameroon,NA,NA
8477,Democratic Republic of the Congo,COD,COD,Congolese (Democratic Republic of) Exclusive Economic Zone,2198,200NM,2198,Democratic Republic of the Congo,COD,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.73256,-6.40153,8477,13373,COD,NA,NA,180,NA,NA,180,NA,NA,Congolese (Democratic Republic of) Exclusive Economic Zone,COD,Democratic Republic of the Congo,NA,NA
8394,Republic of the Congo,COG,COG,Congolese (Republic of) Exclusive Economic Zone,8633,200NM,8633,Republic of the Congo,COG,Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.59577,-5.33648,8394,33807,COG,NA,NA,178,NA,NA,178,NA,NA,Congolese (Republic of) Exclusive Economic Zone,COG,Republic of the Congo,NA,NA
8446,Cook Islands,COK,COK,New Zealand Exclusive Economic Zone (Cook Islands),8672,200NM,2227,Cook Islands,COK,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-161.30341,-15.01891,8446,1969553,NZL,NA,NA,554,NA,NA,184,NA,NA,New Zealand Exclusive Economic Zone (Cook Islands),NZL,Cook Islands,NA,NA
8426,Colombia,COL,COL,Colombian Exclusive Economic Zone,2175,200NM,2175,Colombia,COL,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.06222,8.60754,8426,718338,COL,NA,NA,170,NA,NA,170,NA,NA,Colombian Exclusive Economic Zone,COL,Colombia,NA,NA
62596,Serrana Bank,COL,COL,Colombian Exclusive Economic Zone (Serrana Bank),5770,200NM,2175,Serrana Bank,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.30185,14.38087,62596,2838,COL,NA,NA,170,NA,NA,NA,NA,NA,Colombian Exclusive Economic Zone (Serrana Bank),COL,Serrana Bank,NA,NA
62598,Quitasueño Bank,COL,COL,Colombian Exclusive Economic Zone (Quitasueño Bank),5765,200NM,2175,Quitasueño Bank,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.16088,14.30362,62598,3689,COL,NA,NA,170,NA,NA,NA,NA,NA,Colombian Exclusive Economic Zone (Quitasueño Bank),COL,Quitasueño Bank,NA,NA
48984,Serranilla Bank,COL,COL,Colombian Exclusive Economic Zone (Serranilla Bank),5772,200NM,2175,Serranilla Bank,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.85562,15.79719,48984,1552,COL,NA,NA,170,NA,NA,NA,NA,NA,Colombian Exclusive Economic Zone (Serranilla Bank),COL,Serranilla Bank,NA,NA
48985,Bajo Nuevo Bank,COL,COL,Colombian Exclusive Economic Zone (Bajo Nuevo Bank),48983,200NM,2175,Bajo Nuevo Bank,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.63333,15.84999,48985,1550,COL,NA,NA,170,NA,NA,NA,NA,NA,Colombian Exclusive Economic Zone (Bajo Nuevo Bank),COL,Bajo Nuevo Bank,NA,NA
8334,Comores,COM,COM,Comoran Exclusive Economic Zone,2163,200NM,2163,Comores,COM,Comores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.45423,-11.42314,8334,164476,COM,NA,NA,174,NA,NA,174,NA,NA,Comoran Exclusive Economic Zone,COM,Comores,NA,NA
8362,Cape Verde,CPV,CPV,Cape Verdean Exclusive Economic Zone,2168,200NM,2168,Cape Verde,CPV,Cape Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.17164,16.0919,8362,801936,CPV,NA,NA,132,NA,NA,132,NA,NA,Cape Verdean Exclusive Economic Zone,CPV,Cape Verde,NA,NA
8424,Costa Rica,CRI,CRI,Costa Rican Exclusive Economic Zone,2162,200NM,2162,Costa Rica,CRI,Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.50737,6.73691,8424,581726,CRI,NA,NA,188,NA,NA,188,NA,NA,Costa Rican Exclusive Economic Zone,CRI,Costa Rica,NA,NA
8406,Cuba,CUB,CUB,Cuban Exclusive Economic Zone,8637,200NM,8637,Cuba,CUB,Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.5305,21.60004,8406,352259,CUB,NA,NA,192,NA,NA,192,NA,NA,Cuban Exclusive Economic Zone,CUB,Cuba,NA,NA
26517,Curaçao,CUW,CUW,Dutch Exclusive Economic Zone (Curaçao),19143,200NM,15,Curaçao,CUW,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.97176,13.16246,26517,25401,NLD,NA,NA,528,NA,NA,531,NA,NA,Dutch Exclusive Economic Zone (Curaçao),NLD,Curaçao,NA,NA
8309,Christmas Island,CXR,CXR,Australian Exclusive Economic Zone (Christmas Island),8590,200NM,2147,Christmas Island,CXR,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.36523,-11.24358,8309,327994,AUS,NA,NA,36,NA,NA,162,NA,NA,Australian Exclusive Economic Zone (Christmas Island),AUS,Christmas Island,NA,NA
8407,Cayman Islands,CYM,CYM,British Exclusive Economic Zone (Cayman Islands),8638,200NM,2208,Cayman Islands,CYM,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.13914,19.15345,8407,118291,GBR,NA,NA,826,NA,NA,136,NA,NA,British Exclusive Economic Zone (Cayman Islands),GBR,Cayman Islands,NA,NA
8376,Cyprus,CYP,CYP,Cypriote Exclusive Economic Zone,2159,200NM,2159,Cyprus,CYP,Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.63526,34.48929,8376,98450,CYP,NA,NA,196,NA,NA,196,NA,NA,Cypriote Exclusive Economic Zone,CYP,Cyprus,NA,NA
5669,Germany,DEU,DEU,German Exclusive Economic Zone,2101,200NM,2101,Germany,DEU,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39609,54.55382,5669,56831,DEU,NA,NA,276,NA,NA,276,NA,NA,German Exclusive Economic Zone,DEU,Germany,NA,NA
8352,Djibouti,DJI,DJI,Djiboutian Exclusive Economic Zone,2131,200NM,2131,Djibouti,DJI,Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.43296,11.9971,8352,7223,DJI,NA,NA,262,NA,NA,262,NA,NA,Djiboutian Exclusive Economic Zone,DJI,Djibouti,NA,NA
8417,Dominica,DMA,DMA,Dominican Exclusive Economic Zone,8648,200NM,8648,Dominica,DMA,Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.72114,15.49739,8417,28552,DMA,NA,NA,212,NA,NA,212,NA,NA,Dominican Exclusive Economic Zone,DMA,Dominica,NA,NA
5674,Denmark,DNK,DNK,Danish Exclusive Economic Zone,2157,200NM,2157,Denmark,DNK,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.20529,56.15007,5674,104229,DNK,NA,NA,208,NA,NA,208,NA,NA,Danish Exclusive Economic Zone,DNK,Denmark,NA,NA
8409,Dominican Republic,DOM,DOM,Dominican (Republic) Exclusive Economic Zone,8640,200NM,8640,Dominican Republic,DOM,Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.67224,19.13826,8409,350694,DOM,NA,NA,214,NA,NA,214,NA,NA,Dominican (Republic) Exclusive Economic Zone,DOM,Dominican Republic,NA,NA
8378,Algeria,DZA,DZA,Algerian Exclusive Economic Zone,2152,200NM,2152,Algeria,DZA,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53979,37.20344,8378,131193,DZA,NA,NA,12,NA,NA,12,NA,NA,Algerian Exclusive Economic Zone,DZA,Algeria,NA,NA
8403,Galapagos,ECU,ECU,Ecuadorian Exclusive Economic Zone (Galapagos),5660,200NM,2166,Galapagos,NA,Ecuador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.83174,-0.04184,8403,841438,ECU,NA,NA,218,NA,NA,NA,NA,NA,Ecuadorian Exclusive Economic Zone (Galapagos),ECU,Galapagos,NA,NA
8431,Ecuador,ECU,ECU,Ecuadorian Exclusive Economic Zone,2166,200NM,2166,Ecuador,ECU,Ecuador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.20864,-0.96556,8431,236293,ECU,NA,NA,218,NA,NA,218,NA,NA,Ecuadorian Exclusive Economic Zone,ECU,Ecuador,NA,NA
8490,Egypt,EGY,EGY,Egyptian Exclusive Economic Zone,3868,200NM,3868,Egypt,EGY,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.15948,30.4476,8490,242929,EGY,NA,NA,818,NA,NA,818,NA,NA,Egyptian Exclusive Economic Zone,EGY,Egypt,NA,NA
8351,Eritrea,ERI,ERI,Eritrean Exclusive Economic Zone,2111,200NM,2111,Eritrea,ERI,Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.59255,15.82346,8351,78110,ERI,NA,NA,232,NA,NA,232,NA,NA,Eritrean Exclusive Economic Zone,ERI,Eritrea,NA,NA
8364,Canary Islands,ESP,ESP,Spanish Exclusive Economic Zone (Canary Islands),3743,200NM,2185,Canary Islands,NA,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.61396,28.36715,8364,445910,ESP,NA,NA,724,NA,NA,NA,NA,NA,Spanish Exclusive Economic Zone (Canary Islands),ESP,Canary Islands,NA,NA
5693,Spain,ESP,ESP,Spanish Exclusive Economic Zone,2185,200NM,2185,Spain,ESP,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.15801,41.72201,5693,561763,ESP,NA,NA,724,NA,NA,724,NA,NA,Spanish Exclusive Economic Zone,ESP,Spain,NA,NA
5675,Estonia,EST,EST,Estonian Exclusive Economic Zone,2110,200NM,2110,Estonia,EST,Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.00232,58.77012,5675,36451,EST,NA,NA,233,NA,NA,233,NA,NA,Estonian Exclusive Economic Zone,EST,Estonia,NA,NA
5676,Finland,FIN,FIN,Finnish Exclusive Economic Zone,2106,200NM,2106,Finland,FIN,Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88919,61.75484,5676,81553,FIN,NA,NA,246,NA,NA,246,NA,NA,Finnish Exclusive Economic Zone,FIN,Finland,NA,NA
