iso,name,MRGID,GEONAME,POL_TYPE
GRD,Grenada,8419,Grenadian Exclusive Economic Zone,200NM
GLP,Guadeloupe,33177,French Exclusive Economic Zone (Guadeloupe),200NM
SLE,Sierra Leone,8390,Sierra Leonean Exclusive Economic Zone,200NM
ISL,Iceland,5680,Icelandic Exclusive Economic Zone,200NM
JAM,Jamaica,8459,Jamaican Exclusive Economic Zone,200NM
PRT,Madeira,8363,Portuguese Exclusive Economic Zone (Madeira),200NM
MRT,Mauritania,8369,Mauritanian Exclusive Economic Zone,200NM
MSR,Montserrat,8415,British Exclusive Economic Zone (Montserrat),200NM
NA,Navassa Island,48951,Overlapping claim Navassa Island: United States / Haiti / Jamaica,Overlapping claim
UMI,Palmyra Atoll,8443,United States Exclusive Economic Zone (Palmyra Atoll),200NM
PRI,Puerto Rico,33179,United States Exclusive Economic Zone (Puerto Rico),200NM
BES,Saba,26518,Dutch Exclusive Economic Zone (Saba),200NM
BLM,Saint-Barthélemy,48952,French Exclusive Economic Zone (Saint-Barthélemy),200NM
BES,Sint-Eustatius,26526,Dutch Exclusive Economic Zone (Sint-Eustatius),200NM
KNA,Saint Kitts and Nevis,8413,Kittitian and Nevisian Exclusive Economic Zone,200NM
LCA,Saint Lucia,8416,Saint Lucian Exclusive Economic Zone,200NM
MAF,Collectivity of Saint Martin,8495,French Exclusive Economic Zone (Collectivity of Saint Martin),200NM
SPM,Saint-Pierre and Miquelon,8494,French Exclusive Economic Zone (Saint-Pierre and Miquelon),200NM
VCT,Saint Vincent and the Grenadines,8421,Saint Vincentian Exclusive Economic Zone,200NM
SXM,Sint-Maarten,21803,Dutch Exclusive Economic Zone (Sint-Maarten),200NM
TTO,Trinidad and Tobago,8420,Trinidadian and Tobagonian Exclusive Economic Zone,200NM
TCA,Turks and Caicos Islands,8405,British Exclusive Economic Zone (Turks and Caicos Islands),200NM
VIR,United States Virgin Islands,33180,United States Exclusive Economic Zone (United States Virgin Islands),200NM
PRT,Portugal,5688,Portuguese Exclusive Economic Zone,200NM
SLV,El Salvador,8428,Salvadoran Exclusive Economic Zone,200NM
BLZ,Belize,8457,Belizean Exclusive Economic Zone,200NM
CUB,Cuba,8406,Cuban Exclusive Economic Zone,200NM
HTI,Haiti,8408,Haitian Exclusive Economic Zone,200NM
MTQ,Martinique,33178,French Exclusive Economic Zone (Martinique),200NM
NA,Joint regime area: Senegal / Guinea-Bissau,48964,Joint regime area: Senegal / Guinea-Bissau,Joint regime
NA,Overlapping claim: Venezuela / Netherlands (Aruba) / Dominican Republic,48965,Overlapping claim: Venezuela / Netherlands (Aruba) / Dominican Republic,Overlapping claim
NA,Joint regime area: Spain / France,48966,Joint regime area: Spain / France,Joint regime
NA,Joint regime area: United Kingdom / Denmark (Faeroe Islands),48967,Joint regime area: United Kingdom / Denmark (Faeroe Islands),Joint regime
NA,Overlapping claim: Canada / United States,48943,Overlapping claim: Canada / United States,Overlapping claim
NA,Joint regime area: Costa Rica / Ecuador (Galapagos),48968,Joint regime area: Costa Rica / Ecuador (Galapagos),Joint regime
