Name,ISO 3166,Type,Administering Power,Disputed by,,Reviewed in MM -Map3,Spanish,Updated in SP?,French,Updated in FR?,Bahasa
Eswatini,SWZ,UN Member State,N/A,N/A,,Yes,,,,,
Ethiopia,ETH,UN Member State,N/A,N/A,,Yes,,,,,
Falkland Islands (Malvinas),FLK,Non-Self-Governing Territory,United Kingdom,Argentina,,Yes-updated,Islas Malvinas (Falkland Islands),Yes-updated,Malouines,Yes-updated,Updated with English version
Faroe Islands,FRO,Self-governing province,Denmark,N/A,,Yes,,,,,
Fiji,FJI,UN Member State,N/A,N/A,,Yes,,,,,
Finland,FIN,UN Member State,N/A,N/A,,Yes,,,,,
France,FRA,UN Member State,N/A,N/A,,Yes,,,,,
French Guiana,GUF,Dependency,France,N/A,,Yes,,,,,
French Polynesia,PYF,"""overseas collectivity"" or overseas territory",France,N/A,,Yes,,,,,
French Southern Territories,ATF,Dependency,France,"Madagascar, Mauritius and Comoros",,Yes-updated,Territorios Franceses del Sur,Yes-updated,Terres Australes et Antarctique Françaises,Yes-updated,Updated with English version
Gabon,GAB,UN Member State,N/A,N/A,,Yes,,,,,
Gambia (Republic of The),GMB,UN Member State,N/A,N/A,,Yes-updated,Gambia (República de),Yes-updated,Gambie,Yes-updated,Updated with English version
Georgia,GEO,UN Member State,N/A,N/A,,Yes,,,,,
Germany,DEU,UN Member State,N/A,N/A,,Yes,,,,,
Ghana,GHA,UN Member State,N/A,N/A,,Yes,,,,,
Gibraltar,GIB,Non-Self-Governing Territory,United Kingdom,N/A,,Yes,,,,,
Greece,GRC,UN Member State,N/A,N/A,,Yes,,,,,
Greenland,GRL,Self-governing province,Denmark,N/A,,Yes,,,,,
Grenada,GRD,UN Member State,N/A,N/A,,Yes,,,,,
Guadeloupe,GLP,Dependency,France,N/A,,Yes,,,,,
Guam,GUM,Non-Self-Governing Territory,United States of America,N/A,,Yes,,,,,
Guatemala,GTM,UN Member State,N/A,N/A,,Yes,,,,,
Guernsey,GGY,Self-governing province,United Kingdom,N/A,,Yes,,,,,
Guinea,GIN,UN Member State,N/A,N/A,,Yes,,,,,
Guinea Bissau,GNB,UN Member State,N/A,N/A,,Yes-updated,Guinea Bissau,Yes-updated,Guinée Bissau,Yes-updated,Updated with English version
Guyana,GUY,UN Member State,N/A,N/A,,Yes,,,,,
Haiti,HTI,UN Member State,N/A,N/A,,Yes,,,,,
Heard Island and McDonald Islands,HMD,Non-Self-Governing Territory,Australia,N/A,,Yes,,,,,
Holy See ,VAT,Independent Nation State,N/A,N/A,,Yes-updated,Santa Sede,Yes-updated,Vatican,Yes-updated,Updated with English version
Honduras,HND,UN Member State,N/A,N/A,,Yes,,,,,
Hong Kong,HKG,Special administrative region,China,Hong Kong,,Yes,,,,,
Hungary,HUN,UN Member State,N/A,N/A,,Yes,,,,,
Iceland,ISL,UN Member State,N/A,N/A,,Yes,,,,,
India,IND,UN Member State,N/A,N/A,,Yes,,,,,
Indonesia,IDN,UN Member State,N/A,N/A,,Yes,,,,,
Iran (Islamic Republic of),IRN,UN Member State,N/A,N/A,,Yes-updated,Irán (República Islámica del),Yes-updated,Iran (République islamique d'),Yes-updated,Updated with English version
Iraq,IRQ,UN Member State,N/A,N/A,,Yes,,,,,
Ireland,IRL,UN Member State,N/A,N/A,,Yes,,,,,
Isle of Man,IMN,Self-governing province,United Kingdom,N/A,,Yes,,,,,
Israel,ISR,UN Member State,N/A,N/A,,Yes,,,,,
Italy,ITA,UN Member State,N/A,N/A,,Yes,,,,,
Jamaica,JAM,UN Member State,N/A,N/A,,Yes,,,,,
Japan,JPN,UN Member State,N/A,N/A,,Yes,,,,,
Jersey,JEY,Self-governing province,United Kingdom,N/A,,Yes,,,,,
Jordan,JOR,UN Member State,N/A,N/A,,Yes,,,,,
Kazakhstan,KAZ,UN Member State,N/A,N/A,,Yes,,,,,
Kenya,KEN,UN Member State,N/A,N/A,,Yes,,,,,
Kiribati,KIR,UN Member State,N/A,N/A,,Yes,,,,,
Kuwait,KWT,UN Member State,N/A,N/A,,Yes,,,,,
Kyrgyzstan,KGZ,UN Member State,N/A,N/A,,Yes,,,,,
Lao People’s Democratic Republic,LAO,UN Member State,N/A,N/A,,Yes-updated,República Democrática Popular Lao,Yes-updated,Laos (République démocratique populaire lao),Yes-updated,Updated with English version
Latvia,LVA,UN Member State,N/A,N/A,,Yes,,,,,
Lebanon,LBN,UN Member State,N/A,N/A,,Yes,,,,,
Lesotho,LSO,UN Member State,N/A,N/A,,Yes,,,,,
Liberia,LBR,UN Member State,N/A,N/A,,Yes,,,,,
Libya,LBY,UN Member State,N/A,N/A,,Yes,,,,,
Liechtenstein,LIE,UN Member State,N/A,N/A,,Yes,,,,,
Lithuania,LTU,UN Member State,N/A,N/A,,Yes,,,,,
Luxembourg,LUX,UN Member State,N/A,N/A,,Yes,,,,,
Macao,MAC,Special Administrative Region,China,Macao,,Yes-updated,Macao,Yes-updated,Macao,Yes-updated,Updated with English version
Madagascar,MDG,UN Member State,N/A,N/A,,Yes,,,,,
Malawi,MWI,UN Member State,N/A,N/A,,Yes,,,,,
Malaysia,MYS,UN Member State,N/A,N/A,,Yes,,,,,
Maldives,MDV,UN Member State,N/A,N/A,,Yes,,,,,
Mali,MLI,UN Member State,N/A,N/A,,Yes,,,,,
Malta,MLT,UN Member State,N/A,N/A,,Yes,,,,,
Marshall Islands,MHL,UN Member State,N/A,N/A,,Yes,,,,,
Martinique,MTQ,Dependency,France,N/A,,Yes,,,,,
Mauritania,MRT,UN Member State,N/A,N/A,,Yes,,,,,
Mauritius,MUS,UN Member State,N/A,N/A,,Yes,,,,,
Mayotte,MYT,Dependency,France,N/A,,Yes,,,,,
Mexico,MEX,UN Member State,N/A,N/A,,Yes,,,,,
Micronesia (Federated States of),FSM,UN Member State,N/A,N/A,,Yes-updated,Micronesia (Estados Federados de),Yes-updated,Micronésie (États fédérés de),Yes-updated,Updated with English version
Monaco,MCO,UN Member State,N/A,N/A,,Yes,,,,,
Mongolia,MNG,UN Member State,N/A,N/A,,Yes,,,,,
Montenegro,MNE,UN Member State,N/A,N/A,,Yes,,,,,
Montserrat,MSR,Non-Self-Governing Territory,United Kingdom,N/A,,Yes,,,,,
Morocco,MAR,UN Member State,N/A,N/A,,Yes,,,,,
