"","iso","label","id","GEONAME","POL_TYPE","iso3","isoSov1","isoSov2","isoSov3","territory1"
"225","IND","Andaman and Nicobar",8333,"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","200NM",NA,NA,NA,NA,NA
"226","PAK","Pakistan",8359,"Pakistani Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"227","TKM","Turkmenistan",26523,"Turkmen Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"228","AZE","Azerbaijan",26524,"Azerbaijani Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"229","KAZ","Kazakhstan",26522,"Kazakh Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"230","MMR","Myanmar",8482,"Myanma Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"231","POL","Poland",5687,"Polish Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"232","IND","India",8480,"Indian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"233",NA,"Halaib Triangle",26582,"Overlapping claim Halaib Triangle: Sudan / Egypt","Overlapping claim",NA,NA,NA,NA,NA
"234","BEN","Benin",8393,"Beninese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"235","SVN","Slovenia",5692,"Slovenian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"236","MYS","Malaysia",8483,"Malaysian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"237",NA,"Overlapping claim: South China Sea",49003,"Overlapping claim: South China Sea","Overlapping claim",NA,"CHN",NA,NA,"China"
"238",NA,"Joint regime area: Croatia / Slovenia",50167,"Joint regime area: Croatia / Slovenia","Joint regime",NA,"HRV","SVN",NA,"Croatia"
"239","KOR","South Korea",8327,"South Korean Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"240",NA,"Liancourt Rocks",48955,"Overlapping claim Liancourt Rocks: Japan / South Korea","Overlapping claim",NA,NA,NA,NA,NA
"241",NA,"Overlapping claim: Qatar / Saudi Arabia / United Arab Emirates",50170,"Overlapping claim: Qatar / Saudi Arabia / United Arab Emirates","Overlapping claim",NA,"QAT","SAU","ARE","Qatar"
"242","NZL","New Zealand",8455,"New Zealand Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"243","UMI","Jarvis Island",8442,"United States Exclusive Economic Zone (Jarvis Islands)","200NM",NA,NA,NA,NA,NA
"244","TUV","Tuvalu",8326,"Tuvaluan Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"245","WLF","Wallis and Futuna",8454,"French Exclusive Economic Zone (Wallis and Futuna)","200NM",NA,NA,NA,NA,NA
"246","UMI","Howland and Baker Islands",8451,"United States Exclusive Economic Zone (Howland and Baker Islands)","200NM",NA,NA,NA,NA,NA
"247","FJI","Fiji",8325,"Fijian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"248","BRA","Brazil",8464,"Brazilian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"249","KIR","Line Group",8441,"Kiribati Exclusive Economic Zone (Line Group)","200NM",NA,NA,NA,NA,NA
"250","KIR","Gilbert Islands",8488,"Kiribati Exclusive Economic Zone (Gilbert Islands)","200NM",NA,NA,NA,NA,NA
"251","ECU","Galapagos",8403,"Ecuadorian Exclusive Economic Zone (Galapagos)","200NM",NA,NA,NA,NA,NA
"252","ECU","Ecuador",8431,"Ecuadorian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"253","STP","Sao Tome and Principe",8397,"São Toméan Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"254","FSM","Micronesia",8316,"Micronesian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"255","GNQ","Equatorial Guinea",8398,"Equatorial Guinean Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"256","MDV","Maldives",8345,"Maldivian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"257","PNG","Papua New Guinea",8324,"Papua New Guinean Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"258","SOM","Federal Republic of Somalia",8350,"Somali Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"259","NRU","Nauru",8317,"Nauruan Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"260","GAB","Gabon",8476,"Gabonese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"261","IDN","Indonesia",8492,"Indonesian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"262",NA,"Joint regime area: United States / Russia",48978,"Joint regime area: United States / Russia","Joint regime",NA,"USA","RUS",NA,"United States"
"263","FRA","France",5677,"French Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"264","DZA","Algeria",8378,"Algerian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"265","GHA","Ghana",8400,"Ghanaian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"266","GRL","Greenland",8438,"Danish Exclusive Economic Zone (Greenland)","200NM",NA,NA,NA,NA,NA
"267","GBR","United Kingdom",5696,"British Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"268","USA","Hawaii",8453,"United States Exclusive Economic Zone (Hawaii)","200NM",NA,NA,NA,NA,NA
"269","SJM","Svalbard",33181,"Norwegian Exclusive Economic Zone (Svalbard)","200NM",NA,NA,NA,NA,NA
"270","NOR","Norway",5686,"Norwegian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"271","RUS","Russia",5690,"Russian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"272","SJM","Jan Mayen",8437,"Norwegian Exclusive Economic Zone (Jan Mayen)","200NM",NA,NA,NA,NA,NA
"273","USA","Alaska",8463,"United States Exclusive Economic Zone (Alaska)","200NM",NA,NA,NA,NA,NA
"274","ESP","Spain",5693,"Spanish Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"275","MUS","Chagos Archipelago",62589,"Mauritian Exclusive Economic Zone (Chagos Archipelago)","200NM",NA,NA,NA,NA,NA
"276","SGS","South Georgia and the South Sandwich Islands",8383,"Overlapping claim South Georgia and the South Sandwich Islands: United Kingdom / Argentina","Overlapping claim",NA,NA,NA,NA,NA
"277","BMU","Bermuda",8402,"British Exclusive Economic Zone (Bermuda)","200NM",NA,NA,NA,NA,NA
"278","USA","United States",8456,"United States Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"279","SDN","Sudan",8355,"Sudanese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"280","IMN","Isle of Man",64446,"British Exclusive Economic Zone (Isle of Man)","200NM",NA,NA,NA,NA,NA
"281",NA,"Overlapping claim: Iraq / Iran",64460,"Overlapping claim: Iraq / Iran","Overlapping claim",NA,"IRQ","IRN",NA,"Iraq"
"282",NA,"Overlapping claim: Egypt / Libya",64430,"Overlapping claim: Egypt / Libya","Overlapping claim",NA,"EGY","LBY",NA,"Egypt"
"283",NA,"Overlapping claim: Belize / Honduras",64431,"Overlapping claim: Belize / Honduras","Overlapping claim",NA,"BLZ","HND",NA,"Belize"
"284",NA,"Joint regime area: Norway / Russia",64459,"Joint regime area: Norway / Russia","Joint regime",NA,"NOR","RUS",NA,"Norway"
"285",NA,"Overlapping claim: Malaysia / Singapore",64440,"Overlapping claim: Malaysia / Singapore","Overlapping claim",NA,"MYS","SGP",NA,"Malaysia"
