"","iso","label","id","GEONAME","POL_TYPE","iso3","isoSov1","isoSov2","isoSov3","territory1"
"107","CUB","Cuba",8406,"Cuban Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"108","HTI","Haiti",8408,"Haitian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"109","MTQ","Martinique",33178,"French Exclusive Economic Zone (Martinique)","200NM",NA,NA,NA,NA,NA
"110",NA,"Joint regime area: Senegal / Guinea-Bissau",48964,"Joint regime area: Senegal / Guinea-Bissau","Joint regime",NA,"SEN","GNB",NA,"Senegal"
"111",NA,"Overlapping claim: Venezuela / Netherlands (Aruba) / Dominican Republic",48965,"Overlapping claim: Venezuela / Netherlands (Aruba) / Dominican Republic","Overlapping claim",NA,"VEN","NLD","DOM","Venezuela"
"112",NA,"Joint regime area: Spain / France",48966,"Joint regime area: Spain / France","Joint regime",NA,"FRA","ESP",NA,"France"
"113",NA,"Joint regime area: United Kingdom / Denmark (Faeroe Islands)",48967,"Joint regime area: United Kingdom / Denmark (Faeroe Islands)","Joint regime",NA,"GBR","DNK",NA,"United Kingdom"
"114",NA,"Overlapping claim: Canada / United States",48943,"Overlapping claim: Canada / United States","Overlapping claim",NA,"CAN","USA",NA,"Canada"
"115",NA,"Joint regime area: Costa Rica / Ecuador (Galapagos)",48968,"Joint regime area: Costa Rica / Ecuador (Galapagos)","Joint regime",NA,"CRI","ECU",NA,"Costa Rica"
"116","NIC","Nicaragua",8425,"Nicaraguan Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"117","GUY","Guyana",8460,"Guyanese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"118",NA,"Joint regime area: Barbados / Guyana",48969,"Joint regime area: Barbados / Guyana","Joint regime",NA,"BRB","GUY",NA,"Barbados"
"119",NA,"Joint regime area: Dominican Republic / Colombia",48970,"Joint regime area: Dominican Republic / Colombia","Joint regime",NA,"DOM","COL",NA,"Dominican Republic"
"120",NA,"Overlapping claim: Colombia / Dominican Republic / Venezuela",48971,"Overlapping claim: Colombia / Dominican Republic / Venezuela","Overlapping claim",NA,"COL","DOM","VEN","Colombia"
"121","IRL","Ireland",5681,"Irish Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"122","GGY","Guernsey",21788,"British Exclusive Economic Zone (Guernsey)","200NM",NA,NA,NA,NA,NA
"123","JEY","Jersey",21789,"British Exclusive Economic Zone (Jersey)","200NM",NA,NA,NA,NA,NA
"124","SEN","Senegal",8371,"Senegalese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"125","GNB","Guinea-Bissau",8471,"Bissau-Guinean Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
